"txn_fee";"txn_conv_fee";"input_asset_types";"output_asset_types";"block_height";"transaction_id"
0.00017807;0.1287553647;{'XUSD'};{'XEUR', 'XUSD'};1440108;dcec443c9910a9c28a3229ab95decccfbdb81cd264b477dfa4d4fae39926f92e
0.00022718;62.397475725;{'XUSD'};{'XUSD', 'XBTC'};1441813;a3a9cdb345a773f689449b52f00815e73ca316ad872458b295d5dab148b30e79
0.00022823;3.035246632899;{'XBTC'};{'XUSD', 'XBTC'};1441869;18f6b0ec04db2252c206753668ad6470a447bdbef6df92870caaf3f7f96a83a6
0.0004839;2379.259066320156;{'XUSD'};{'XUSD', 'XBTC'};1442031;cfdd9fc075fe2b697a5a639ff7954c9a29a53b3dec2c091dfcba0200f63e5790
0.00022665;83.120396733;{'XUSD'};{'XUSD', 'XBTC'};1442400;07ddb3c2fa180b58c6f803ce2d43e64b5813d422e82354f9733de43eab84f002
0.00022748;83.120396733;{'XUSD'};{'XUSD', 'XBTC'};1442400;2a03a458f1d51e72dae91dc05b48fd7d2eaabae0f143cf215fa3974212345cb4
0.00038213;3423.44023215546;{'XUSD'};{'XUSD', 'XBTC'};1442485;49c574b9076481929f117b1050cc66e863850bbff17714930072fe62586b155b
0.00022718;69.80652273468;{'XUSD'};{'XUSD', 'XAG'};1443365;5be0024831cacd31a8ccec5321b799957e3dd4294d99a260cc62d48f7903c8e2
0.00022703;27.922609093872;{'XUSD'};{'XUSD', 'XAG'};1443365;526ff557215c2f661d5f863f06c085b9154e149edea9757b351281c875118263
0.00032918;83.857581848355;{'XUSD'};{'XUSD', 'XBTC'};1443408;a2aae758c8cf4d4627e3261af5228f1dd6aa65a98c4b70c7375c09fad230e0f7
0.00017603;1179.7044879375;{'XUSD'};{'XUSD', 'XBTC'};1443448;fd0eb713873e85d5117628c3d0581c3b028fe50702cdb9d3938df92ae041e516
0.00022785;1.66959159881;{'XBTC'};{'XUSD', 'XBTC'};1443556;3eff9c48ffbf0eca1e507981029ff9973b5868bc775e8ffda6aee536f133c128
0.0007383;83.7531485595;{'XUSD'};{'XUSD', 'XBTC'};1443686;f49b146f2e93753f7dd38521f081e0a732394f107baf772db81a5b5325eb78db
0.00017845;12.73344651;{'XUSD'};{'XUSD', 'XAG'};1444200;3d193f7d13e29533bcf3c544aaa571e09c4c49891e691907ed6d9e95f87ce8a7
0.00017838;128.2051281;{'XUSD'};{'XUSD', 'XBTC'};1444333;c33de838ba5caeff524f4689121c4cfb4d8a6598db6ff081337ca321579301be
0.00022725;248.1514575;{'XUSD'};{'XUSD', 'XBTC'};1444736;9167ec2b12a160d96d7b96f49130390fd73430f3c7f650cc13f92e69dd7c25ca
0.00022665;38.20082598;{'XUSD'};{'XUSD', 'XBTC'};1444856;ef50c9c76e761717be28c79a4152c314545cc7865e8546d5387110797737e8d5
0.00022718;319.596207375;{'XUSD'};{'XUSD', 'XBTC'};1444877;b69648f80539f02c1d0839d87681c6e4dad71f022d604b295e00e2aede2371df
0.00017603;51.2302299;{'XUSD'};{'XUSD', 'XBTC'};1444903;e06c975e7979651498d4d13bf577fc314a638bd806ec9bd3f12c5c10f1e50fc5
0.00017588;12.569103885;{'XUSD'};{'XUSD', 'XBTC'};1445044;7db59ad1384615cb68b5519114e4dd25a243b46125cb96b9a9e18f0dfef30879
0.00022703;29.00607758826;{'XUSD'};{'XUSD', 'XAG'};1445111;3cd7d7977fcdd4856f3c58aad61ff0438b1f0c24d581f3494b751c7bb2cb01a4
0.00017588;81.18578871;{'XUSD'};{'XUSD', 'XBTC'};1445114;59767e7acc5fc019b2bdfbe1e12d70e00908b11985f334f0584a92360bc0b663
0.00017573;82.897541991;{'XUSD'};{'XUSD', 'XBTC'};1445134;086371cad54f96eba38a3c1f89dce3e387c502168f340ac2fefab2cbadcb6e1a
0.0002274;0.624506067;{'XUSD'};{'XUSD', 'XBTC'};1445134;59e9ecb6e0a07bd8fca1c2e9b595626a83d4e0f327da65045d234090ee69397f
0.000228;346.789698403935;{'XBTC'};{'XUSD', 'XBTC'};1445224;2fafa2d4f2dc138362a8672669e19d897359dece84b76edd6da25dc79884039a
0.0001761;44.740259698875;{'XUSD'};{'XUSD', 'XBTC'};1445483;61ce30b7b3a949a79a72ba42b5e3e46f7786fe49443164643c2ef9412d8d23fe
0.00017588;0.294805194532;{'XUSD'};{'XUSD', 'XCNY'};1445487;de03f63bebe754174686228c9b20cd31b5d0b45928f2318d74ca19945007aec5
0.00032933;15.163043471437;{'XUSD'};{'XUSD', 'XAG'};1445794;af99f0e975cd8bda5da65a2df953b11f79900519ab03644a4e586560e0fbc60e
0.00022673;1.3043478255;{'XUSD'};{'XUSD', 'XBTC'};1445798;65d862ba1468660d762ac642a9bcb222aefcda046dc61c4adec7943b74ebc5d7
0.00017618;253.8526797;{'XUSD'};{'XUSD', 'XBTC'};1446195;fc5c4b593753ebb18ba4304c4b899168362c7532c2f5ab9c902dd6a4ab94984c
0.00017633;172.737953953942;{'XBTC'};{'XUSD', 'XBTC'};1446234;bb596302938b07634d1a69ea852d9210416c0bad47e53566b2e7e48c6007be4f
0.00022703;50.52709014;{'XUSD'};{'XUSD', 'XBTC'};1446323;29cd4347a07f84304603dd8eae659e6e05044cc70b91c9886fac3e1c9bfe078c
0.00027833;283.52785114899;{'XUSD'};{'XUSD', 'XBTC'};1446643;7eb98b85a820a5f89754ece011cb4012f6fa26c0c112249130811d00525d36fc
0.00017618;13.251420705;{'XUSD'};{'XUSD', 'XBTC'};1446740;c0c8fd271ee2165fcfedabb113174d8569c98042afbb481b90a89e0800a77ad3
0.00017588;66.725978625;{'XUSD'};{'XUSD', 'XBTC'};1447356;62187f6f1a01338b0c3c2507f1e76d31205ba8d84fb03fc123625e8ae014bcdf
0.000228;7.339241259452;{'XBTC'};{'XUSD', 'XBTC'};1447688;9911f77e10e32f1a779929a5537e41fdf9318f0daaccac1fb2c77dc44d050b7e
0.0001758;71.157495225;{'XUSD'};{'XUSD', 'XBTC'};1448045;2c5b982c906fe4222212e9955f23209a4580dcc80c8006575457e4f7db53b18b
0.00017603;14.76377952;{'XUSD'};{'XUSD', 'XBTC'};1448380;e85a5e89af7c7e68781712d21ab47d6357371c3b21e318ae9bb0ae8f3d3dae11
0.00017398;932.2795671;{'XUSD'};{'XUSD', 'XBTC'};1452039;137c4cb5998ad842491b24c3391aec57a946a383961059390a8c1d1b34ee179b
0.00017368;932.2795671;{'XUSD'};{'XUSD', 'XBTC'};1452040;32f5e35f3bfb1bc940bf72bbb55a506a3006de2b6eff69d322e3b93295615608
0.0001739;411.08418135;{'XUSD'};{'XUSD', 'XBTC'};1452329;6588314d6395b91551f756bcf8396086ebef23c5a7f6319475a2acf527a2355c
0.00022504;440.683941477168;{'XBTC'};{'XUSD', 'XBTC'};1452366;135b469b965912b02b784f9d04b625f16311a8637204393c70f12213fa8b7c04
0.00017361;138.88888875;{'XUSD'};{'XUSD', 'XBTC'};1452366;0e66bfe7831b10d72893aea3a7aa70f3d7f5d4542aad92b05712729788078ab0
0.00022459;381.876157562094;{'XBTC'};{'XUSD', 'XBTC'};1452398;71a9254d4f2cb4bad29c9f5c41bf948b134c3cd4a8d5055ac71b423c446d4410
0.0002243;31.376274317445;{'XUSD'};{'XUSD', 'XAG'};1452398;f8a95f402d0d9880866b1160512aa37d9d0ea1619a7bb950710f6c1286450584
0.00032634;0.188256845817;{'XAG'};{'XUSD', 'XAG'};1452398;8427dc996a56ae7b57a29a2cb4efef19f936a3dec4af1f52e278290eaa93824a
0.00017361;27.80352177;{'XUSD'};{'XUSD', 'XBTC'};1452415;67c2b4fada713914d5d7de60bae920a38fae1fab9b4b1a9672b0f3879150f8a9
0.00022474;13.914009294836;{'XBTC'};{'XUSD', 'XBTC'};1452624;2df11b075fee765165d1f1dc94edac81445be5ddf7da7499ae69e5ff0cf5cac3
0.00022334;15.765213222;{'XUSD'};{'XUSD', 'XAG'};1453192;47d9c570ae3073893063a713f723eb49b9ce3b70e909dce56c3a8ba4f1f20f4e
0.00017368;13.164416895;{'XUSD'};{'XUSD', 'XCNY'};1453229;f0f06f9567b67863f8d1e73642095bc7aff6fc119521df270e63e2272015cccb
0.00022415;19.98432162;{'XUSD'};{'XUSD', 'XAG'};1453476;716f2c354bd288be41660476ce03a84b1cd8f60141f41b47c1033fc35c1bfc49
0.00022445;29.712324795;{'XAG'};{'XUSD', 'XAG'};1453759;3fff9f44d67653fea5801cde766a40e8b33ab2c967b0c103f5b6a1a123ab5fd3
0.00017331;13.404825735;{'XUSD'};{'XUSD', 'XBTC'};1453799;77a2f676fdd8cc908d7b84c4279b16eddc179379a804830b2b1455e737dd07cd
0.0002243;39.808310985229;{'XUSD'};{'XUSD', 'XBTC'};1454011;543892f04ed713484b467077d0dcc90418cce622705e1df66f506a7eece88ffa
0.00017346;3.06156813375;{'XUSD'};{'XUSD', 'XBTC'};1454294;5637ac4c5d638f8fe12d11ccd0541fa6ccd2106de4536c59c64d65d39acb4728
0.00017353;11.58332643;{'XUSD'};{'XUSD', 'XBTC'};1454588;41c3bbc3797c7e52809a02dbc5bd6b60768ca9c26792fe764e3470f63b494303
0.0001742;693.29033046669;{'XBTC'};{'XUSD', 'XBTC'};1454820;6ee5cc6f245c0cd14acf17b50001b53dad71f622260254bff59b97456bec9e55
0.00017405;2906.78662006116;{'XBTC'};{'XUSD', 'XBTC'};1455077;5fe25a0bd1a3748afabce6881dedf8efc75150048743370dc3756a7ed0e8c6dd
0.00017427;1274.248029830475;{'XBTC'};{'XUSD', 'XBTC'};1455118;4b62120eab4007ed42218b131aac45ea9f8f3b3e21f6d60fe6c4656d11364738
